gene	T0_NI_CD16neg	T0_NI_CD16pos	T2_IAV_CD16neg	T2_IAV_CD16pos	T2_NI_CD16neg	T2_NI_CD16pos	T4_IAV_CD16neg	T4_IAV_CD16pos	T4_NI_CD16neg	T4_NI_CD16pos	T6_IAV_CD16neg	T6_IAV_CD16pos	T6_NI_CD16neg	T6_NI_CD16pos	T8_IAV_CD16neg	T8_IAV_CD16pos	T8_NI_CD16neg	T8_NI_CD16pos	ni_CD16neg_CD16pos_logFC	ni_CD16neg_CD16pos_AUC	ni_CD16neg_CD16pos_pval	ni_CD16neg_CD16pos_fdr	iav_CD16neg_CD16pos_logFC	iav_CD16neg_CD16pos_AUC	iav_CD16neg_CD16pos_pval	iav_CD16neg_CD16pos_fdr	IAV	NI	ens	t0_CD16neg_CD16pos_logFC	t0_CD16neg_CD16pos_AUC	t0_CD16neg_CD16pos_pval	t0_CD16neg_CD16pos_fdr
RPL6	2.94859311339815	2.76938339699014	2.9664631776618	2.85233828862421	2.98489362314194	2.90463754553098	3.15808886138364	3.13365692836505	2.9556667505468	2.91526406997844	2.73995387913091	2.62701155882553	2.74365788919535	2.79374366228652	2.17360261616931	2.25228517289573	2.68907845880732	2.81522451682143	-0.00108732444187953	0.512438172579957	0.00324670951492641	0.00517314831585781	-0.0200991314207565	0.515066620873665	0.0236900152716876	0.0411546931968993	nonsig	nonsig	ENSG00000089009	0.174559809119178	0.600603979986036	1.62278776387352e-16	1.11253189226987e-15
OAS1	0.146777226915108	0.322742204334542	0.355314336023547	0.676203173946695	0.0875356188215241	0.292661855968849	1.66434299799201	2.08089727404274	0.167110269205616	0.352072171212621	2.37892803092466	2.79539792772506	0.362812830272395	0.515114591096857	2.8906122551324	3.05094122770913	0.371001879026487	0.484644733450931	-0.212185213251134	0.415285955317569	2.27100772836272e-66	1.91980621824427e-65	-0.276045930067776	0.411123024489275	2.01541210075284e-30	2.06464354138192e-29	nonclassical	nonclassical	ENSG00000089127	-0.171767628780988	0.404789627308938	1.73054032461315e-32	2.40039805233162e-31
OAS3	0.186738086340462	0.259869076761416	0.328398047024049	0.500657652077566	0.0977746293840899	0.138437203006203	1.4503859201696	1.73776736527818	0.188874815876145	0.259560545334759	2.06162732014727	2.30930513897807	0.397712316337536	0.448489778386608	2.33885235461033	2.25493809148727	0.376185177284718	0.362814445037464	-0.0927686797741299	0.462612304386464	5.90006132954398e-13	1.80567441373957e-12	-0.12379719132409	0.456017481600808	9.61913505274666e-09	3.84765402109867e-08	nonsig	nonsig	ENSG00000111331	-0.0531259829145643	0.470009062700685	0.000480598804711846	0.00107449162169646
OAS2	0.169717072872338	0.212507047829977	0.299932088936925	0.45929329363957	0.0782038341152206	0.152557386643535	1.69836782243606	2.00643371281573	0.181861928673303	0.273983655404597	2.28415889901844	2.38281380460351	0.360196221401076	0.39715573756649	2.63264892717791	2.58646181519567	0.367621343079233	0.407810548376635	-0.114579413880899	0.45582154993781	5.0023675178698e-19	1.89503943796225e-18	-0.114145477938588	0.459728028678479	1.16389491252414e-07	4.28811797558654e-07	nonsig	nonsig	ENSG00000111335	-0.032181009190784	0.475850803539455	0.00347811135361823	0.00675732962223043
IMMP1LP2	0.000270437798614451	0	0.0156903429864194	0.0159289886396916	0.000574706045083899	0.00182492994833386	0.29136210881059	0.289415884431772	0.00285017680449026	0.00304061861248353	0.285330792470566	0.185362340403765	0.00258583618468165	0.00173984441566695	0.24320742677568	0.130862259155496	0.0010589867673347	0.00107056779972333	-0.00065075588062167	0.499471553542336	0.682186526704385	0.728606700228639	0.0149657812764183	0.499845081947677	0.823137636447887	0.86132608819732	nonsig	nonsig	ENSG00000258159	0.000212211267793591	0.500146043520969	0.861770095432351	0.895872171484849
DDX54	0.125709696369503	0.131086091841596	0.081522671184483	0.0971581486804808	0.0896570294488531	0.110320131256573	0.0542676918716438	0.0845288443336015	0.0839307213333329	0.0771065726565922	0.0468206008019137	0.0357995827580193	0.111229038068889	0.0980913960337834	0.0416134654117194	0.071360561683864	0.126553470413171	0.113105198049406	0.00255789949136835	0.500178323496002	0.924276628584294	0.941041533513687	-0.0181516600416059	0.491300144406847	0.205522432540382	0.273825866933922	nonsig	nonsig	ENSG00000123064	-0.00601072733754062	0.488291510870239	0.133550581934929	0.186159315457466
SLC8B1	0.357221500313665	0.36299059035869	0.391131907332864	0.380022699486409	0.418955627650824	0.325251865991797	0.183759116400226	0.127403954599142	0.285580392062816	0.190899668799802	0.100194990975381	0.100972059338945	0.203599160596841	0.163349200516564	0.0640569862363975	0.0655223204401927	0.161674739489373	0.133618516004577	0.0747531637298265	0.531912838084767	5.73899863904595e-12	1.68620386942522e-11	0.0261958108342053	0.510705081862121	0.136311764049906	0.193318766776924	nonsig	nonsig	ENSG00000089060	-0.00258731029987029	0.492012619760689	0.445051597007649	0.521460217744051
PLBD2	0.138717815145315	0.106101309534936	0.233724651282189	0.170243141633261	0.243451657922472	0.151628015800478	0.217933287670144	0.144598416327129	0.272073584646192	0.15619914754058	0.176776991866198	0.113957728185103	0.24961301151207	0.156917035280663	0.153661270941568	0.126649581568414	0.222660859683055	0.145150648053547	0.102579868849445	0.54736826596384	3.52674611976051e-22	1.47787456447107e-21	0.0667676076412118	0.527847971306854	0.000181946532433067	0.000470466756310552	nonsig	nonsig	ENSG00000151176	0.033260253597362	0.513776105279373	0.0722572088021998	0.106882528754535
SDS	0.096538123318394	0.0458832734003673	0.361267049731838	0.193469073354027	0.409340725422531	0.147690527142368	0.174340019195632	0.0942739132319808	0.142157894447942	0.0664727554835544	0.154515906001153	0.0952030488512687	0.0823258032506745	0.0758744271141213	0.168792718631051	0.0931483071229531	0.049044044264478	0.0389428756104674	0.111382500667283	0.542353298207229	3.70600465969056e-19	1.41191149845414e-18	0.128809975985606	0.543549847862528	5.70097980277777e-09	2.32544525693853e-08	nonsig	nonsig	ENSG00000135094	0.0524637557381731	0.524669351466737	2.15779259215363e-05	5.87672787147676e-05
SDSL	0.0445896903873611	0.0251905738935655	0.241024722916303	0.194238752452121	0.244348741891577	0.149962512484045	0.290346250966433	0.263926008175383	0.26333973661818	0.205884776952611	0.244308151534018	0.255257863582507	0.188267337404784	0.186175408321218	0.163261650783914	0.271518881255817	0.106151259850177	0.12700323388192	0.0498049722800146	0.524214264814089	1.43855209052032e-06	3.12384612536936e-06	0.0153436290822623	0.510469649200751	0.209145670527141	0.278032184098488	nonsig	nonsig	ENSG00000139410	0.0209924804120785	0.510171030967228	0.0183246030201546	0.0308262203109338
