gene	T0_NI_CD16neg	T0_NI_CD16pos	T2_IAV_CD16neg	T2_IAV_CD16pos	T2_NI_CD16neg	T2_NI_CD16pos	T4_IAV_CD16neg	T4_IAV_CD16pos	T4_NI_CD16neg	T4_NI_CD16pos	T6_IAV_CD16neg	T6_IAV_CD16pos	T6_NI_CD16neg	T6_NI_CD16pos	T8_IAV_CD16neg	T8_IAV_CD16pos	T8_NI_CD16neg	T8_NI_CD16pos	t0_CD16neg_CD16pos_logFC	t0_CD16neg_CD16pos_AUC	t0_CD16neg_CD16pos_pval	t0_CD16neg_CD16pos_fdr	ni_CD16neg_CD16pos_logFC	ni_CD16neg_CD16pos_AUC	ni_CD16neg_CD16pos_pval	ni_CD16neg_CD16pos_fdr	iav_CD16neg_CD16pos_logFC	iav_CD16neg_CD16pos_AUC	iav_CD16neg_CD16pos_pval	iav_CD16neg_CD16pos_fdr	CD16neg_CD16pos_logFC	CD16neg_CD16pos_AUC	CD16neg_CD16pos_pval	CD16neg_CD16pos_fdr	color	ens
RTN2	0.00931745169311906	0.0424310899342518	0.00920305874423527	0.0542997768740148	0.00933370248079543	0.0794372748710443	0.0108981451971203	0.0801311547297165	0.00888368045483481	0.1397516729478	0.00932121954023653	0.103201185216622	0.00795900706512914	0.132879985809249	0.00446485404550253	0.148863930066362	0.0113443312294131	0.126484691417486	-0.0335742479648247	0.480708251058816	1.77579537920669e-11	8.61653783219556e-11	-0.108240464111218	0.446858837054622	9.766795863595e-37	5.99191871501978e-36	-0.0751433637048665	0.469125015507083	4.16829345867517e-13	2.28572153848781e-12	-0.0921451824102256	0.453782110979159	2.25629308036634e-51	1.39477703912526e-50	nonsig	ENSG00000125744
PPM1N	0.0278459477754042	0.211776685962058	0.025189425129191	0.135162557985069	0.0255080230776477	0.15796477399556	0.0258308581768497	0.172406744322291	0.0194460649136881	0.262378684848356	0.0183419752211458	0.20877537426212	0.0122089256856888	0.290736366143564	0.0120148063020588	0.227178063954559	0.00765164117076952	0.270841882568617	-0.182678441718915	0.404573562921751	2.56357833498512e-86	1.51705088760943e-84	-0.224186267434374	0.408981241129358	1.44210241963172e-95	1.7468195833535e-94	-0.150658662402939	0.443893998162984	2.897187242874e-25	2.71151906536527e-24	-0.198703236500928	0.417621304373908	1.60806259898517e-134	1.97308933581739e-133	nonsig	ENSG00000213889
VASP	0.991773795630932	1.36112266947797	1.04736226321178	1.54980632491014	1.05117209267095	1.70397239931291	0.834859140106816	1.38514589178189	0.850737050629614	1.5901248886643	0.466142469093578	1.36954461060631	0.669820378092161	1.50998631472668	0.313530620056376	1.3818015178697	0.65475841293387	1.41320376896649	-0.387292869183612	0.353232263214438	1.04175160392126e-34	1.59951104375045e-33	-0.702022911738832	0.276839126871622	0	0	-0.644531412873037	0.331161170386024	4.3642115032678e-89	1.54956784687904e-87	-0.658779554895758	0.293491107242493	0	0	CD16+	ENSG00000125753
OPA3	0.135606458185814	0.201383836665212	0.12607383602579	0.157402384605227	0.125746109739533	0.176728460452512	0.0874361477375672	0.150635933212379	0.116185869350391	0.181145064893605	0.0566921257557261	0.124277335157438	0.12549475204955	0.169273910201547	0.0438889634613441	0.0945836546998882	0.116154973063805	0.131699122451057	-0.0637757684385547	0.457958471624544	1.42351673973495e-08	5.50598902441008e-08	-0.04165421091594	0.476559974486692	6.61767329360224e-06	1.4398698575624e-05	-0.0473005606991663	0.477299769181269	0.000525263642470302	0.00132800300528429	-0.0451752107847284	0.476029734177233	1.4243032480374e-09	3.33531193408925e-09	nonsig	ENSG00000125741
SYMPK	0.14273211817244	0.153319727976207	0.102164616240707	0.130248747430893	0.107086000193973	0.134282682859252	0.0858623136725631	0.136737399413284	0.111650949655571	0.142609807022424	0.0745738018071255	0.11788275656153	0.125209004012246	0.124667511412491	0.082485896328991	0.122914329036073	0.118487915123238	0.129166045354404	-0.0172409889811669	0.483641125055266	0.0201657479478083	0.0333124786541143	-0.0204286711181856	0.486124311701207	0.00570497902100186	0.0091141692402451	-0.038483123916373	0.479273675725655	0.000767738484986797	0.00189548993186006	-0.0255806690047197	0.484299906903355	2.52732848783651e-05	4.55368003152529e-05	nonsig	ENSG00000125755
PTGIR	0.223443409488596	0.191759887167884	0.206960417943768	0.167212512813587	0.192632474036604	0.20690067734956	0.138093424004677	0.208194856519461	0.179675196400681	0.297345875254895	0.164394715236597	0.414111256736734	0.201521814503716	0.309045027459517	0.196010319666375	0.469628216859392	0.157124546583276	0.223337180537278	0.00722502652325273	0.500115034280216	0.601577300096037	0.669584765251878	-0.089510469610531	0.459443582849586	1.96457272605483e-16	7.28983517747713e-16	-0.0800191825244049	0.492362876134614	0.487564797348736	0.567753695917555	-0.0786725176980498	0.469318008857521	7.27058707278227e-14	2.0467891556232e-13	nonsig	ENSG00000160013
STRN4	0.148738557719971	0.1153778113416	0.127220167697116	0.105689486082201	0.147439464078716	0.110464523374701	0.0895613493225754	0.0731266780131953	0.15090923826372	0.110086686044092	0.0743089359659067	0.0518087236688755	0.140022897956185	0.099983648963656	0.0774609201363061	0.0618794812776203	0.125523414732141	0.104765448959906	0.0299145163160704	0.512221642049331	0.128206587694555	0.178471361110701	0.034096657019499	0.514797425052211	0.00305359290041238	0.00506199628457623	0.0198086767259429	0.50386959016689	0.609971586906948	0.681867096658475	0.0294655858621452	0.511940604741128	0.0031113481178107	0.00465024168831429	nonsig	ENSG00000090372
SLC1A5	0.0692569290034543	0.152067947688414	0.130550074485512	0.203768939298258	0.140767176556823	0.22868254199203	0.0658479140202192	0.0654905095669238	0.122616740693911	0.233836059909921	0.0262363766588339	0.0546092656378393	0.105181254054159	0.133520164242874	0.0269845631279874	0.0962737073506598	0.0717303726411527	0.104709829560925	-0.0828515843171522	0.447244278795081	1.0076356864033e-19	8.16601759551661e-19	-0.064077269399359	0.464370530563506	9.29296956259137e-14	3.11281604275245e-13	-0.0427827587334361	0.47923089756525	0.000257312516826279	0.000682761517090186	-0.0592410115015649	0.467460355278512	2.43836096130428e-19	8.20635581822844e-19	nonsig	ENSG00000105281
ARHGAP35	0.0659801358543942	0.0627727026702271	0.0306348367847049	0.0341246970574638	0.0324160635984166	0.037647500937259	0.0335477226690474	0.0322145947825862	0.0738422328234914	0.0736567911882341	0.032631497918074	0.0168783724923953	0.0981712194410735	0.114470439231521	0.0367233250883736	0.0677532622260482	0.106864608604667	0.107326993615918	0.00032864402625314	0.49698110036791	0.434789218080257	0.510127539841788	-0.00390584665860862	0.497697560958637	0.629439100618429	0.682412887521621	-0.00456814617506616	0.495804990255746	0.379654785989841	0.463532954912591	-0.00375469788051871	0.497192373569682	0.36565475197584	0.410449445954307	nonsig	ENSG00000160007
TMEM160	0.295095193791348	0.39593000506115	0.120771851506764	0.203014758375483	0.121335989716397	0.223814017905513	0.0834967601061982	0.139124189247655	0.0796058389466763	0.22215422969704	0.0691852857338718	0.128842299018811	0.167834133277646	0.257652542222871	0.0533647074927001	0.0779616742956461	0.250497396157804	0.298010327702007	-0.0995123799826154	0.444376424174404	1.39419411765328e-08	5.39905711137579e-08	-0.096404400322618	0.451706572166812	2.98274643288999e-21	1.28273902235034e-20	-0.0638880717845046	0.467183498141289	3.37932086306503e-07	1.25805516533895e-06	-0.0869080653822144	0.455329532362457	5.71251264159399e-29	2.46040821204667e-28	nonsig	ENSG00000130748
ZC3H4	0.123998263545553	0.130578591357786	0.24057055280338	0.249292733403073	0.234275770517605	0.23896260819686	0.353641446415645	0.415523304997238	0.245002270690517	0.224779710374473	0.368492931927548	0.434321106591075	0.19367320636778	0.192559640890698	0.323456945855313	0.342570711677769	0.143608263831918	0.125539950240828	-0.0137226341797354	0.489498870663458	0.163416697385144	0.221093178815195	0.00290981094757902	0.497931828014817	0.761417950338835	0.803476329356896	-0.0399966850776156	0.484002037462668	0.0433637352558527	0.0730573487510377	-0.011333703663621	0.494091747923831	0.179219065990564	0.213581605599412	nonsig	ENSG00000130749
