ens	gene	classical_nonclassical_pval	classical_nonclassical_fdr	classical_nonclassical_AUC	classical_nonclassical_logFC	upregulated_in	intermediate_nonclassical_pval	intermediate_nonclassical_fdr	intermediate_nonclassical_AUC	intermediate_nonclassical_logFC	intermediate_classical_pval	intermediate_classical_fdr	intermediate_classical_AUC	intermediate_classical_logFC	relative_classic	relative_nonclassic	classical_id_pval	classical_id_fdr	classical_fluCor_pval	classical_fluCor_cc	intermediate_id_pval	intermediate_id_fdr	intermediate_fluCor_pval	intermediate_fluCor_cc	nonclassical_id_pval	nonclassical_id_fdr	nonclassical_fluCor_pval	nonclassical_fluCor_cc	classical_mean	classical_sd	intermediate_mean	intermediate_sd	nonclassical_mean	nonclassical_sd
ENSG00000104325	DECR1	1.78068619479512e-05	4.37450157811286e-05	0.454313618583302	-0.0715758850284653	nonsig	0.405139227675267	0.642871340180429	0.515053141815271	0.0243098563434067	3.08855998665022e-06	1.64998856562723e-05	0.555018152119006	0.0926223368083576	nonsig	nonsig	0.0460892851844057	0.0579144933491888	0.995187145372879	0.00256686707617004	0.305215822607744	0.61081400281388	0.950608142362868	0.0263545247466369	0.0611700187381212	0.286913545865404	0.466667585535724	-0.302368098954043	0.202644918111586	0.0219832309084339	0.269185393476667	0.111382389515822	0.260851150920493	0.0747857200404359
ENSG00000174891	RSRC1	1.79552460850086e-05	4.40859412970061e-05	0.453903114757216	-0.0793378811498164	nonsig	0.800377525501317	0.91071967878144	0.494908169164406	-0.0114543340368856	0.00035358059305501	0.00121450699216276	0.544650908078047	0.0685494817434274	nonsig	nonsig	0.00425838628191493	0.00650523789870426	0.99194696068023	-0.0042950071238288	0.494892460543714	0.740000489226165	0.4446759998443	0.316714882954715	0.966432258698695	0.98357267738073	0.690374161875328	-0.168283930221382	0.188977276537597	0.0258901669406558	0.257647899650195	0.0565988350014481	0.268173908941203	0.0325429506446257
ENSG00000167703	SLC43A2	1.7971484432644e-05	4.41022150060979e-05	0.434457279072864	-0.198721114947746	nonsig	0.535485855897105	0.743298120854399	0.483879574865478	-0.0341510956101269	0.00242265736762759	0.00679558353303362	0.553743490966429	0.168069254776396	nonsig	nonsig	1.03136404901153e-16	5.86484463558103e-16	0.47000992815168	-0.300211805520447	0.305947384877339	0.61081400281388	0.181710468294823	-0.524834377441933	0.807640715703489	0.907730405183274	0.73919746125223	-0.140950403387361	1.07611157958219	0.115954417101762	1.24489093905016	0.11625307074364	1.26425453453352	0.0929454547326864
ENSG00000229473	RGS17P1	1.83076147497887e-05	4.49030700624159e-05	0.542343707404285	0.0904936071168034	nonsig	0.0384235232276805	0.144766459845506	0.52734913505581	0.0313840656450977	0.097556339502333	0.161619509738703	0.479048347425421	-0.0633347913123686	nonsig	nonsig	0.000291231746335425	0.000545494891401333	0.0502123539849401	-0.706282907208324	0.771250686274361	0.87837699486382	0.702432697226246	-0.161488168119325	0.512983900542938	0.74449181517759	0.304313303314043	-0.416783549496563	0.164603144559677	0.0318409363707122	0.0973547209440211	0.0281341425331925	0.0666925181574863	0.0337556569855665
ENSG00000147679	UTP23	1.8415627606566e-05	4.51438648966514e-05	0.459303062770631	-0.0629635122291728	nonsig	0.186904014770913	0.412356982588326	0.475697069417886	-0.0436784905690956	0.128163413802205	0.203228025548831	0.513726212226361	0.0166525632725746	nonsig	nonsig	0.00210203424289297	0.00342065075909073	0.448089699315224	0.314469182918233	0.42365828304011	0.69212098998614	0.323440507363463	-0.402059594203695	0.735928128154648	0.868157591275066	0.0997425400846249	0.621854036622864	0.165730954864016	0.0275768856968389	0.161366411776228	0.0783385326714754	0.223841907911754	0.0457492087191326
ENSG00000145687	SSBP2	1.84677109312265e-05	4.52249061124842e-05	0.466481332378133	-0.0456348740573747	nonsig	0.0111058429895386	0.0615031117051455	0.462711789033664	-0.0598596185057991	0.701710902461209	0.775006337279058	0.495996619787462	-0.0185208181538909	nonsig	nonsig	0.0440592487704596	0.0556991439690466	0.520693919653395	0.26821587863785	0.346284935147475	0.63844980610356	0.630157919742056	-0.202735816979967	0.643161490130624	0.821220945522936	0.217993349203358	0.489746164896571	0.105478407137304	0.0158165185994317	0.0803421604644946	0.0445951718851246	0.146442906756098	0.0444911711102244
ENSG00000100221	JOSD1	1.8468397048332e-05	4.52249061124842e-05	0.450893281684873	-0.103344259205286	nonsig	0.26319076161725	0.501362559178729	0.478431982923467	-0.0273176540698284	0.00470173065161429	0.0120027471161421	0.540994518957044	0.0808146763478197	nonsig	nonsig	2.50757330690032e-07	7.04238305101931e-07	0.181530241934231	0.525017523221392	0.0426886843283236	0.243654692018255	0.119266946919723	0.595574561209178	0.752196819985736	0.877881792195967	0.134972086111018	-0.576155752723058	0.350898193671725	0.0486246451493447	0.446925221006661	0.168721248672863	0.43534049084681	0.0780794483831666
ENSG00000134215	VAV3	1.85514571168017e-05	4.54040729114683e-05	0.545325011253194	0.0946517055767596	nonsig	0.287788233146025	0.528402406905831	0.513096455729977	0.0116962405288214	0.0033505795421245	0.00900223039742934	0.461814456545857	-0.086303143145278	nonsig	nonsig	0.892362130078794	0.895484324279814	0.0972946545416691	-0.625349747289108	0.108810834839072	0.385124566943746	0.432404069713467	-0.324847579733076	0.00633088950771084	0.0651420157154089	0.818842813020559	-0.0972281813165363	0.192159105507677	0.0127657572360937	0.0950204481315078	0.0664651948488036	0.0950414792200525	0.0644602819918049
ENSG00000179604	CDC42EP4	1.8645243448289e-05	4.56092868785704e-05	0.4675559331275	-0.0473890328617748	nonsig	0.0274434935780238	0.116072066386683	0.469649130608796	-0.0403026788863333	0.549150589328142	0.640745500744175	0.505889406621629	0.00917003113824719	nonsig	nonsig	0.0115498443925243	0.016233456636231	0.0351066759488768	0.74186301211923	0.503277915983386	0.74597621332292	0.784752904562396	-0.115830318388465	0.532559454557042	0.757332019139672	0.730879232419699	0.145574678306114	0.0863670901848468	0.013495173918334	0.0987825565984481	0.0455839196007566	0.129171961699579	0.0401339887610766
ENSG00000150961	SEC24D	1.86608109735499e-05	4.56230482459352e-05	0.547865697095725	0.10778446069948	nonsig	0.132841548444811	0.333258891769382	0.524258460443812	0.029946553750516	0.0973127225326944	0.161332400181552	0.477008889581297	-0.0718753502567917	nonsig	nonsig	6.75309989199233e-07	1.82079761482684e-06	0.737009525851836	-0.142165512947954	0.5235597127137	0.756729298155329	0.710797026225819	-0.156792338978654	0.450694125928698	0.706605857152988	0.182716037654818	-0.523814297626632	0.277041109544997	0.0477147978254317	0.209055399096683	0.0591588062324026	0.174929114614471	0.0681451339818312
ENSG00000175866	BAIAP2	1.87312706979361e-05	4.57709271740303e-05	0.537263920676079	0.073945851340393	nonsig	0.0160380994543982	0.0800857871558579	0.530439809667808	0.0476463534090489	0.58635566765661	0.673033056247169	0.494304153034874	-0.0237524671911683	nonsig	nonsig	3.1598532210472e-08	9.81093804559242e-08	0.538744270888159	-0.257109170562726	0.341913276525565	0.635790364208511	0.91772132873761	0.0439384767013707	0.675007280196617	0.837417790976555	0.00029762166826275	-0.950184500629461	0.117351127358634	0.0396660071215598	0.0862771570396031	0.0568207384919513	0.0434647347921493	0.0276835789163162
ENSG00000144815	NXPE3	1.8986963417437e-05	4.63710351903238e-05	0.469559318595348	-0.0455695313606015	nonsig	0.0494010711755214	0.173054592079746	0.470027126784364	-0.03948800095782	0.53997842549798	0.63294022850836	0.504572256763966	0.00512049609342663	nonsig	nonsig	0.26482663938312	0.289561460121309	0.739817498903866	0.140606208968248	0.0774443113933996	0.326808725149928	0.36746041214363	-0.369646031841539	0.143192222497895	0.429763969288974	0.158316817695057	-0.549483831514589	0.0916493422540449	0.0128580393285515	0.0922916571799009	0.0608166301747111	0.119743822586905	0.0480705581126379
ENSG00000075539	FRYL	1.91019411406711e-05	4.6627025475819e-05	0.452635149271237	-0.0857033446541729	nonsig	0.0166056365621602	0.0824710672984342	0.456419264463912	-0.0704801890737908	0.503918731033475	0.59924411938653	0.512392538983387	0.0211687851310836	nonsig	nonsig	7.57676426666116e-09	2.5140832407598e-08	0.842009224078023	0.0846654789087496	0.0557264725160656	0.275470558492155	0.634864465618844	0.200008989837584	0.0688571627943209	0.301512900823606	0.498769312980772	-0.281901888788673	0.222519523933419	0.04522174919958	0.274029366161251	0.144257561050385	0.319669052626194	0.0888671521533604
ENSG00000143079	CTTNBP2NL	1.93803578814267e-05	4.72814791695199e-05	0.543470611729949	0.0909783616488182	nonsig	0.00358524539552172	0.0259941349155819	0.542357806732779	0.0610284871788019	0.722207990855185	0.792115791117219	0.490510855864149	-0.0304843615685007	nonsig	nonsig	4.13628860723022e-09	1.40603173470959e-08	0.182363595984759	0.524171482633335	0.11761102430192	0.399198957486325	0.901407789500518	-0.0526798949455467	0.725683337734427	0.863931993521816	0.0901141861766763	0.635905986754165	0.16312518152423	0.0351663073165358	0.118187322257381	0.0670143558622646	0.0807324878717866	0.0339358840159643
ENSG00000108107	RPL28	1.95092457223798e-05	4.75706315727952e-05	0.571266000139476	0.104967769026643	nonsig	0.00314860350796108	0.0233423933732365	0.576688753502023	0.125332376271273	0.647786099932336	0.728065249225935	0.507319859692854	0.0109858951883781	nonsig	nonsig	9.9853340608674e-102	4.1656998186655e-100	0.0676475996179622	-0.672520372321348	0.000606857729753778	0.0136513241266671	0.0450449432662474	-0.717615570543791	1.72004444302506e-09	1.09628943736694e-07	0.0179495748697119	-0.796636569438703	3.6623871831565	0.172035712385361	3.66651979565515	0.152556557272725	3.52322631979914	0.171864522139084
