T0_T0_CD16neg	T0_T0_CD16pos	T2_bystander_CD16neg	T2_bystander_CD16pos	T2_infected_CD16neg	T2_infected_CD16pos	T2_unexposed_CD16neg	T2_unexposed_CD16pos	T4_bystander_CD16neg	T4_bystander_CD16pos	T4_infected_CD16neg	T4_infected_CD16pos	T4_unexposed_CD16neg	T4_unexposed_CD16pos	T6_bystander_CD16neg	T6_bystander_CD16pos	T6_infected_CD16neg	T6_infected_CD16pos	T6_unexposed_CD16neg	T6_unexposed_CD16pos	T8_bystander_CD16neg	T8_bystander_CD16pos	T8_infected_CD16neg	T8_infected_CD16pos	T8_unexposed_CD16neg	T8_unexposed_CD16pos	module_pre_reordering	bystander	infected
SAT1	2.86547129541189	3.62558581513568	3.31897974091175	3.74318957863126	2.87361032771375	3.57729148397025	2.8704282226653	3.33935952003775	4.61740963943264	4.60238162829922	3.43417643659027	3.64463597577652	2.53341235815382	2.9359779718107	4.69439246245329	4.73399245656088	3.77413444839253	3.86533986622402	2.44189944123335	3.15122604183329	4.49515983552248	4.33552280403783	3.39724585150017	3.78733986505503	2.36293387546544	3.11774281445818	5	TRUE	FALSE
DRAP1	0.501936589155344	1.08072836767752	0.38643360428504	0.848237102831619	0.379783810989382	0.626992279696277	0.310177736802892	0.798808843081777	1.04175390552196	1.46926675157938	0.740715457989318	1.5020920833114	0.590345173052262	0.54780731850857	1.50774106788613	2.23252844159046	1.17123137767296	2.13244102093118	0.625970134017335	0.947912346008129	1.79587016183687	2.56145876422281	1.33438398038073	2.54668438496058	0.680542088860229	0.80446790669171	5	TRUE	TRUE
KPNB1	0.437136086831264	0.626233170957036	0.537326094086561	0.648978205162289	0.501965215163456	0.615823264121865	0.433370480202277	0.679065749076949	1.5566575689465	1.5728032780845	1.10020049233288	1.76277039705347	0.690573681986576	0.68113495276715	2.09793093958609	2.07965485529412	1.60806584247151	2.21148130421061	0.797987659114759	0.881005973984651	1.79746529775388	1.99476636036504	1.99927471934707	2.38917081435951	0.796015419295137	0.724291240788969	5	FALSE	TRUE
TRAFD1	0.0536854081581591	0.0900442706226741	0.0919994630214751	0.20159781921237	0.0955096990141205	0.196476980112848	0.0710773030667617	0.231206865010854	0.801292316055114	1.4535856029556	0.493391145230578	1.03665684008372	0.1886747340022	0.295611635784634	1.23677191179808	1.42765888176811	0.789908949402683	1.36794126834544	0.157736412094996	0.221075732856268	1.23785627557327	1.45711192442529	1.22434938069127	1.75927033779956	0.234385633665256	0.236881911196555	5	FALSE	TRUE
NMI	0.318511597783278	0.340813533652317	0.181362012216444	0.438125131154421	0.230368668368901	0.485114485384883	0.145448908934844	0.285379585945511	1.44282279794586	1.73116095668415	0.729504762898241	1.3537867515306	0.174972173972399	0.367758137572276	1.88384382934141	2.16306738855546	1.06978407323101	1.73183754354792	0.184429130514918	0.471574671348866	2.04893549230926	2.20800730902869	1.14503440393531	1.75606843897811	0.32582503478316	0.451102523014174	5	FALSE	TRUE
IFI35	0.206901120754952	0.204839274480588	0.0539000236495054	0.194173415321329	0.0804883883224725	0.22437894521493	0.032351697789364	0.118300506033171	0.828119543874232	1.00938510252379	0.378214039029507	0.733783520734454	0.0591323057907604	0.251668968342221	1.53279947034101	2.0170481278005	0.854415706371045	1.64215887479192	0.101831875041168	0.364312842093798	2.11896924443546	2.28689868262114	1.36514753291451	1.99195338442636	0.132953018416305	0.305038393455665	5	FALSE	TRUE
PSMA4	0.51011828627903	0.712816131237062	0.467462864669622	0.649313811907016	0.432210907546997	0.733618985335139	0.353390770967587	0.573783730063901	1.57740235485871	1.75140495161885	1.25771676134652	1.69668406918908	0.558438402179696	0.767318779772342	2.16826994652563	2.756615724732	1.96995535074006	2.77944197197103	0.630424084769086	0.764232710643145	2.39599647161957	2.58747717204699	2.33437229495268	2.95484483975047	0.699351670205633	0.826028912583227	5	FALSE	TRUE
DYNLT1	0.430051310840872	0.321201472563582	0.383548079579411	0.514217719610099	0.368120451996796	0.546666235021301	0.426500893420115	0.369068030535184	1.52734624037689	1.76521228157024	0.934629855774209	1.55461199511836	0.474424208400354	0.535413531749223	2.37093230355282	2.68173502933867	1.65572737732407	2.34378802845623	0.338570117449267	0.487789178163438	2.58536945542588	2.6003648840837	2.10397689219345	2.64260703684784	0.506791262665703	0.584384944689574	5	FALSE	TRUE
NT5C3A	0.137690347514427	0.246943576056091	0.175695056513672	0.442689513682389	0.18534841248416	0.390989303846759	0.089770061406158	0.170268637695613	2.04744311583472	2.46226526850869	1.34043530403197	2.1900775061262	0.178693215362232	0.149167102929157	2.79815668132768	2.96876262670632	2.39421498550736	3.11309693258718	0.152807508521159	0.228710489495228	3.01890010161601	2.7970461462415	3.19712367746675	3.38303080565903	0.150132139493036	0.320058149442643	5	FALSE	TRUE
ISG20	0.108451263824705	0.185970108516616	0.307463366475876	0.390696663694429	0.25058752308489	0.328923635873485	0.202583374131183	0.273571962556697	2.26106435086191	2.13223889254487	1.32874909045198	1.71753991311986	0.272244192200005	0.251563323188498	3.83734544705601	3.80013044821354	2.44754650175324	3.46443743801343	0.104275448852646	0.28523500571696	4.28017743211339	4.1764047515856	3.14035835644785	3.77649916697936	0.128689416452168	0.290415435177499	5	FALSE	TRUE
